STARTDATE_EPOCH|STOPDATE_EPOCH|DURATION_MS|STARTDATE|STOPDATE|DURATION|BENCHMARK|DATABASE|SCALE_FACTOR|ENGINE|FILE_FORMAT|QUERY
1453288458|1453288472|14000|2016/01/20:11:14:18|2016/01/20:11:14:32|0h 0m 14s|tpch|tpch_orc_2sf|2|pig|orc|Query 11
1453288472|1453288486|14000|2016/01/20:11:14:32|2016/01/20:11:14:46|0h 0m 14s|tpch|tpch_orc_2sf|2|pig|orc|Query 12
1453288486|1453288499|13000|2016/01/20:11:14:46|2016/01/20:11:14:59|0h 0m 13s|tpch|tpch_orc_2sf|2|pig|orc|Query 13
1453288499|1453288511|12000|2016/01/20:11:14:59|2016/01/20:11:15:11|0h 0m 12s|tpch|tpch_orc_2sf|2|pig|orc|Query 14
1453288511|1453288523|12000|2016/01/20:11:15:11|2016/01/20:11:15:23|0h 0m 12s|tpch|tpch_orc_2sf|2|pig|orc|Query 15
1453288523|1453288535|12000|2016/01/20:11:15:23|2016/01/20:11:15:35|0h 0m 12s|tpch|tpch_orc_2sf|2|pig|orc|Query 16
1453288535|1453288551|16000|2016/01/20:11:15:35|2016/01/20:11:15:51|0h 0m 16s|tpch|tpch_orc_2sf|2|pig|orc|Query 17
1453288551|1453288573|22000|2016/01/20:11:15:51|2016/01/20:11:16:13|0h 0m 22s|tpch|tpch_orc_2sf|2|pig|orc|Query 18
1453288573|1453288586|13000|2016/01/20:11:16:13|2016/01/20:11:16:26|0h 0m 13s|tpch|tpch_orc_2sf|2|pig|orc|Query 19
1453288586|1453288599|13000|2016/01/20:11:16:26|2016/01/20:11:16:39|0h 0m 13s|tpch|tpch_orc_2sf|2|pig|orc|Query 20
1453288599|1453288620|21000|2016/01/20:11:16:39|2016/01/20:11:17:00|0h 0m 21s|tpch|tpch_orc_2sf|2|pig|orc|Query 21
1453288620|1453288646|26000|2016/01/20:11:17:00|2016/01/20:11:17:26|0h 0m 26s|tpch|tpch_orc_2sf|2|pig|orc|Query 22
1453290195|1453290203|8000|2016/01/20:11:43:15|2016/01/20:11:43:23|0h 0m 8s|tpch|tpch_orc_2sf|2|pig|orc|Query 1
1453290203|1453290370|167000|2016/01/20:11:43:23|2016/01/20:11:46:10|0h 2m 47s|tpch|tpch_orc_2sf|2|pig|orc|Query 2
1453290947|1453290964|17000|2016/01/20:11:55:47|2016/01/20:11:56:04|0h 0m 17s|tpch|tpch_orc_2sf|2|pig|orc|Query 1
1453290964|1453291135|171000|2016/01/20:11:56:04|2016/01/20:11:58:55|0h 2m 51s|tpch|tpch_orc_2sf|2|pig|orc|Query 2
1453292280|1453292307|27000|2016/01/20:12:18:00|2016/01/20:12:18:27|0h 0m 27s|tpch|tpch_orc_2sf|2|hive|orc|Query 1
1453292307|1453292558|251000|2016/01/20:12:18:27|2016/01/20:12:22:38|0h 4m 11s|tpch|tpch_orc_2sf|2|hive|orc|Query 2
1453295681|1453295695|14000|2016/01/20:13:14:41|2016/01/20:13:14:55|0h 0m 14s|tpch|tpch_orc_2sf|2|pig|orc|Query 1
1453295695|1453295864|169000|2016/01/20:13:14:55|2016/01/20:13:17:44|0h 2m 49s|tpch|tpch_orc_2sf|2|pig|orc|Query 2
1453296910|1453296918|8000|2016/01/20:13:35:10|2016/01/20:13:35:18|0h 0m 8s|tpch|tpch_orc_2sf|2|pig|orc|Query 1
1453296918|1453297073|155000|2016/01/20:13:35:18|2016/01/20:13:37:53|0h 2m 35s|tpch|tpch_orc_2sf|2|pig|orc|Query 2
1453297076|1453297084|8000|2016/01/20:13:37:56|2016/01/20:13:38:04|0h 0m 8s|tpch|tpch_orc_2sf|2|pig|orc|Query 1
1453297084|1453297153|69000|2016/01/20:13:38:04|2016/01/20:13:39:13|0h 1m 9s|tpch|tpch_orc_2sf|2|pig|orc|Query 2
1453297302|1453297445|143000|2016/01/20:13:41:42|2016/01/20:13:44:05|0h 2m 23s|tpch|tpch_orc_2sf|2|hive|orc|Query 1
1453297445|1453297674|229000|2016/01/20:13:44:05|2016/01/20:13:47:54|0h 3m 49s|tpch|tpch_orc_2sf|2|hive|orc|Query 2
1453298117|1453298125|8000|2016/01/20:13:55:17|2016/01/20:13:55:25|0h 0m 8s|tpch|tpch_orc_2sf|2|pig|orc|Query 1
1453298125|1453298243|118000|2016/01/20:13:55:25|2016/01/20:13:57:23|0h 1m 58s|tpch|tpch_orc_2sf|2|pig|orc|Query 2
1453298245|1453298254|9000|2016/01/20:13:57:25|2016/01/20:13:57:34|0h 0m 9s|tpch|tpch_orc_2sf|2|pig|orc|Query 1
1453298254|1453298424|170000|2016/01/20:13:57:34|2016/01/20:14:00:24|0h 2m 50s|tpch|tpch_orc_2sf|2|pig|orc|Query 2
1453299996|1453300006|10000|2016/01/20:14:26:36|2016/01/20:14:26:46|0h 0m 10s|tpch|tpch_orc_2sf|2|pig|orc|Query 1
1453300006|1453300082|76000|2016/01/20:14:26:46|2016/01/20:14:28:02|0h 1m 16s|tpch|tpch_orc_2sf|2|pig|orc|Query 2
1453300861|1453300870|9000|2016/01/20:14:41:01|2016/01/20:14:41:10|0h 0m 9s|tpch|tpch_orc_2sf|2|pig|orc|Query 1
1453300870|1453301015|145000|2016/01/20:14:41:10|2016/01/20:14:43:35|0h 2m 25s|tpch|tpch_orc_2sf|2|pig|orc|Query 2
1453301038|1453301861|823000|2016/01/20:14:43:58|2016/01/20:14:57:41|0h 13m 43s|tpch|tpch_orc_2sf|2|pig|orc|Query 1
1453301861|1453301918|57000|2016/01/20:14:57:41|2016/01/20:14:58:38|0h 0m 57s|tpch|tpch_orc_2sf|2|pig|orc|Query 2
1453302259|1453302563|304000|2016/01/20:15:04:19|2016/01/20:15:09:23|0h 5m 4s|tpch|tpch_orc_2sf|2|pig|orc|Query 1
1453302563|1453302566|3000|2016/01/20:15:09:23|2016/01/20:15:09:26|0h 0m 3s|tpch|tpch_orc_2sf|2|pig|orc|Query 2
1453303654|1453304448|794000|2016/01/20:15:27:34|2016/01/20:15:40:48|0h 13m 14s|tpch|tpch_orc_2sf|2|pig|orc|Query 1
1453303956|1453304620|664000|2016/01/20:15:32:36|2016/01/20:15:43:40|0h 11m 4s|tpch|tpch_orc_2sf|2|pig|orc|Query 1
1453817057|1453817277|220000|2016/01/26:14:04:17|2016/01/26:14:07:57|0h 3m 40s|tpch|tpch_orc_2sf|2|hive|orc|Query 1
1453817277|1453817542|265000|2016/01/26:14:07:57|2016/01/26:14:12:22|0h 4m 25s|tpch|tpch_orc_2sf|2|hive|orc|Query 2
1453817542|1453817610|68000|2016/01/26:14:12:22|2016/01/26:14:13:30|0h 1m 8s|tpch|tpch_orc_2sf|2|hive|orc|Query 6
1453817610|1453818016|406000|2016/01/26:14:13:30|2016/01/26:14:20:16|0h 6m 46s|tpch|tpch_orc_2sf|2|hive|orc|Query 7
1453818016|1453818456|440000|2016/01/26:14:20:16|2016/01/26:14:27:36|0h 7m 20s|tpch|tpch_orc_2sf|2|hive|orc|Query 10
1453818456|1453818691|235000|2016/01/26:14:27:36|2016/01/26:14:31:31|0h 3m 55s|tpch|tpch_orc_2sf|2|hive|orc|Query 12
1453818691|1453818913|222000|2016/01/26:14:31:31|2016/01/26:14:35:13|0h 3m 42s|tpch|tpch_orc_2sf|2|hive|orc|Query 13
1453818913|1453819264|351000|2016/01/26:14:35:13|2016/01/26:14:41:04|0h 5m 51s|tpch|tpch_orc_2sf|2|hive|orc|Query 14
1453819264|1453819586|322000|2016/01/26:14:41:04|2016/01/26:14:46:26|0h 5m 22s|tpch|tpch_orc_2sf|2|hive|orc|Query 15
1453819586|1453819781|195000|2016/01/26:14:46:26|2016/01/26:14:49:41|0h 3m 15s|tpch|tpch_orc_2sf|2|hive|orc|Query 16
1453819781|1453819834|53000|2016/01/26:14:49:41|2016/01/26:14:50:34|0h 0m 53s|tpch|tpch_orc_2sf|2|hive|orc|Query 19
1453819834|1453820112|278000|2016/01/26:14:50:34|2016/01/26:14:55:12|0h 4m 38s|tpch|tpch_orc_2sf|2|hive|orc|Query 22
1453821903|1453822447|544000|2016/01/26:15:25:03|2016/01/26:15:34:07|0h 9m 4s|tpch|tpch_orc_2sf|2|pig|orc|Query 1
1453822447|1453822451|4000|2016/01/26:15:34:07|2016/01/26:15:34:11|0h 0m 4s|tpch|tpch_orc_2sf|2|pig|orc|Query 2
1453822451|1453822453|2000|2016/01/26:15:34:11|2016/01/26:15:34:13|0h 0m 2s|tpch|tpch_orc_2sf|2|pig|orc|Query 6
1453822453|1453822453|0|2016/01/26:15:34:13|2016/01/26:15:34:13|0h 0m 0s|tpch|tpch_orc_2sf|2|pig|orc|Query 7
1453822453|1453822457|4000|2016/01/26:15:34:13|2016/01/26:15:34:17|0h 0m 4s|tpch|tpch_orc_2sf|2|pig|orc|Query 10
1453822457|1453822457|0|2016/01/26:15:34:17|2016/01/26:15:34:17|0h 0m 0s|tpch|tpch_orc_2sf|2|pig|orc|Query 12
1453822457|1453822458|1000|2016/01/26:15:34:17|2016/01/26:15:34:18|0h 0m 1s|tpch|tpch_orc_2sf|2|pig|orc|Query 13
1453822458|1453822459|1000|2016/01/26:15:34:18|2016/01/26:15:34:19|0h 0m 1s|tpch|tpch_orc_2sf|2|pig|orc|Query 14
1453822459|1453822459|0|2016/01/26:15:34:19|2016/01/26:15:34:19|0h 0m 0s|tpch|tpch_orc_2sf|2|pig|orc|Query 15
1453822459|1453822460|1000|2016/01/26:15:34:19|2016/01/26:15:34:20|0h 0m 1s|tpch|tpch_orc_2sf|2|pig|orc|Query 16
1453822460|1453822461|1000|2016/01/26:15:34:20|2016/01/26:15:34:21|0h 0m 1s|tpch|tpch_orc_2sf|2|pig|orc|Query 19
1453822461|1453822461|0|2016/01/26:15:34:21|2016/01/26:15:34:21|0h 0m 0s|tpch|tpch_orc_2sf|2|pig|orc|Query 22
1453822689|1453823162|473000|2016/01/26:15:38:09|2016/01/26:15:46:02|0h 7m 53s|tpch|tpch_orc_2sf|2|pig|orc|Query 1
1453823162|1453823397|235000|2016/01/26:15:46:02|2016/01/26:15:49:57|0h 3m 55s|tpch|tpch_orc_2sf|2|pig|orc|Query 2
1453825563|1453825983|420000|2016/01/26:16:26:03|2016/01/26:16:33:03|0h 7m 0s|tpch|tpch_orc_2sf|2|pig|orc|Query 1
1453825983|1453826329|346000|2016/01/26:16:33:03|2016/01/26:16:38:49|0h 5m 46s|tpch|tpch_orc_2sf|2|pig|orc|Query 2
1453826329|1453826402|73000|2016/01/26:16:38:49|2016/01/26:16:40:02|0h 1m 13s|tpch|tpch_orc_2sf|2|pig|orc|Query 6
1453826402|1453826740|338000|2016/01/26:16:40:02|2016/01/26:16:45:40|0h 5m 38s|tpch|tpch_orc_2sf|2|pig|orc|Query 7
1453826740|1453827127|387000|2016/01/26:16:45:40|2016/01/26:16:52:07|0h 6m 27s|tpch|tpch_orc_2sf|2|pig|orc|Query 10
1453827127|1453827372|245000|2016/01/26:16:52:07|2016/01/26:16:56:12|0h 4m 5s|tpch|tpch_orc_2sf|2|pig|orc|Query 12
1453827372|1453827570|198000|2016/01/26:16:56:12|2016/01/26:16:59:30|0h 3m 18s|tpch|tpch_orc_2sf|2|pig|orc|Query 13
1453827570|1453827727|157000|2016/01/26:16:59:30|2016/01/26:17:02:07|0h 2m 37s|tpch|tpch_orc_2sf|2|pig|orc|Query 14
1453827727|1453827976|249000|2016/01/26:17:02:07|2016/01/26:17:06:16|0h 4m 9s|tpch|tpch_orc_2sf|2|pig|orc|Query 15
1453827976|1453828247|271000|2016/01/26:17:06:16|2016/01/26:17:10:47|0h 4m 31s|tpch|tpch_orc_2sf|2|pig|orc|Query 16
1453828247|1453828616|369000|2016/01/26:17:10:47|2016/01/26:17:16:56|0h 6m 9s|tpch|tpch_orc_2sf|2|pig|orc|Query 19
1453828617|1453828936|319000|2016/01/26:17:16:56|2016/01/26:17:22:16|0h 5m 19s|tpch|tpch_orc_2sf|2|pig|orc|Query 22
1453882400|1453882409|9000|2016/01/27:08:13:20|2016/01/27:08:13:29|0h 0m 9s|tpch|tpch_Avro_2sf|2|pig|Avro|Query 1
1453882410|1453882448|38000|2016/01/27:08:13:30|2016/01/27:08:14:08|0h 0m 38s|tpch|tpch_Avro_2sf|2|pig|Avro|Query 2
1453882448|1453882467|19000|2016/01/27:08:14:08|2016/01/27:08:14:27|0h 0m 19s|tpch|tpch_Avro_2sf|2|pig|Avro|Query 6
1453882467|1453882477|10000|2016/01/27:08:14:27|2016/01/27:08:14:37|0h 0m 10s|tpch|tpch_Avro_2sf|2|pig|Avro|Query 7
1453882477|1453882489|12000|2016/01/27:08:14:37|2016/01/27:08:14:49|0h 0m 12s|tpch|tpch_Avro_2sf|2|pig|Avro|Query 10
1453882489|1453882507|18000|2016/01/27:08:14:49|2016/01/27:08:15:07|0h 0m 18s|tpch|tpch_Avro_2sf|2|pig|Avro|Query 12
1453882507|1453882518|11000|2016/01/27:08:15:07|2016/01/27:08:15:18|0h 0m 11s|tpch|tpch_Avro_2sf|2|pig|Avro|Query 13
1453882518|1453882527|9000|2016/01/27:08:15:18|2016/01/27:08:15:27|0h 0m 9s|tpch|tpch_Avro_2sf|2|pig|Avro|Query 14
1453882527|1453882535|8000|2016/01/27:08:15:27|2016/01/27:08:15:35|0h 0m 8s|tpch|tpch_Avro_2sf|2|pig|Avro|Query 15
1453882535|1453882535|0|2016/01/27:08:15:35|2016/01/27:08:15:35|0h 0m 0s|tpch|tpch_Avro_2sf|2|pig|Avro|Query 16
1453882535|1453882536|1000|2016/01/27:08:15:35|2016/01/27:08:15:36|0h 0m 1s|tpch|tpch_Avro_2sf|2|pig|Avro|Query 19
1453882536|1453882536|0|2016/01/27:08:15:36|2016/01/27:08:15:36|0h 0m 0s|tpch|tpch_Avro_2sf|2|pig|Avro|Query 22
1453884114|1453884131|17000|2016/01/27:08:41:54|2016/01/27:08:42:11|0h 0m 17s|tpch|tpch_Avro_2sf|2|pig|Avro|Query 1
1453884131|1453884151|20000|2016/01/27:08:42:11|2016/01/27:08:42:31|0h 0m 20s|tpch|tpch_Avro_2sf|2|pig|Avro|Query 2
1453884151|1453884163|12000|2016/01/27:08:42:31|2016/01/27:08:42:43|0h 0m 12s|tpch|tpch_Avro_2sf|2|pig|Avro|Query 6
1453884163|1453884179|16000|2016/01/27:08:42:43|2016/01/27:08:42:59|0h 0m 16s|tpch|tpch_Avro_2sf|2|pig|Avro|Query 7
1453884179|1453884194|15000|2016/01/27:08:42:59|2016/01/27:08:43:14|0h 0m 15s|tpch|tpch_Avro_2sf|2|pig|Avro|Query 10
1453884194|1453884205|11000|2016/01/27:08:43:14|2016/01/27:08:43:25|0h 0m 11s|tpch|tpch_Avro_2sf|2|pig|Avro|Query 12
1453884205|1453884216|11000|2016/01/27:08:43:25|2016/01/27:08:43:36|0h 0m 11s|tpch|tpch_Avro_2sf|2|pig|Avro|Query 13
1453884216|1453884229|13000|2016/01/27:08:43:36|2016/01/27:08:43:49|0h 0m 13s|tpch|tpch_Avro_2sf|2|pig|Avro|Query 14
1453884229|1453884246|17000|2016/01/27:08:43:49|2016/01/27:08:44:06|0h 0m 17s|tpch|tpch_Avro_2sf|2|pig|Avro|Query 15
1453884246|1453884257|11000|2016/01/27:08:44:06|2016/01/27:08:44:17|0h 0m 11s|tpch|tpch_Avro_2sf|2|pig|Avro|Query 16
1453884257|1453884263|6000|2016/01/27:08:44:17|2016/01/27:08:44:23|0h 0m 6s|tpch|tpch_Avro_2sf|2|pig|Avro|Query 19
1453884263|1453884264|1000|2016/01/27:08:44:23|2016/01/27:08:44:24|0h 0m 1s|tpch|tpch_Avro_2sf|2|pig|Avro|Query 22
1453884310|1453884317|7000|2016/01/27:08:45:10|2016/01/27:08:45:17|0h 0m 7s|tpch|tpch_avro_2sf|2|pig|avro|Query 1
1453884317|1453884325|8000|2016/01/27:08:45:17|2016/01/27:08:45:25|0h 0m 8s|tpch|tpch_avro_2sf|2|pig|avro|Query 2
1453884325|1453884334|9000|2016/01/27:08:45:25|2016/01/27:08:45:34|0h 0m 9s|tpch|tpch_avro_2sf|2|pig|avro|Query 6
1453884334|1453884343|9000|2016/01/27:08:45:34|2016/01/27:08:45:43|0h 0m 9s|tpch|tpch_avro_2sf|2|pig|avro|Query 7
1453884343|1453884345|2000|2016/01/27:08:45:43|2016/01/27:08:45:45|0h 0m 2s|tpch|tpch_avro_2sf|2|pig|avro|Query 10
1453885018|1453885785|767000|2016/01/27:08:56:58|2016/01/27:09:09:45|0h 12m 47s|tpch|tpch_avro_2sf|2|pig|avro|Query 1
1453885785|1453885806|21000|2016/01/27:09:09:45|2016/01/27:09:10:06|0h 0m 21s|tpch|tpch_avro_2sf|2|pig|avro|Query 2
1453885806|1453885818|12000|2016/01/27:09:10:06|2016/01/27:09:10:18|0h 0m 12s|tpch|tpch_avro_2sf|2|pig|avro|Query 6
1453885818|1453885828|10000|2016/01/27:09:10:18|2016/01/27:09:10:28|0h 0m 10s|tpch|tpch_avro_2sf|2|pig|avro|Query 7
1453885828|1453885830|2000|2016/01/27:09:10:28|2016/01/27:09:10:30|0h 0m 2s|tpch|tpch_avro_2sf|2|pig|avro|Query 10
1453885830|1453885830|0|2016/01/27:09:10:30|2016/01/27:09:10:30|0h 0m 0s|tpch|tpch_avro_2sf|2|pig|avro|Query 12
1453885830|1453885831|1000|2016/01/27:09:10:30|2016/01/27:09:10:31|0h 0m 1s|tpch|tpch_avro_2sf|2|pig|avro|Query 13
1453885831|1453885831|0|2016/01/27:09:10:31|2016/01/27:09:10:31|0h 0m 0s|tpch|tpch_avro_2sf|2|pig|avro|Query 14
1453885831|1453885832|1000|2016/01/27:09:10:31|2016/01/27:09:10:32|0h 0m 1s|tpch|tpch_avro_2sf|2|pig|avro|Query 15
1453885832|1453885832|0|2016/01/27:09:10:32|2016/01/27:09:10:32|0h 0m 0s|tpch|tpch_avro_2sf|2|pig|avro|Query 16
1453885832|1453885833|1000|2016/01/27:09:10:32|2016/01/27:09:10:33|0h 0m 1s|tpch|tpch_avro_2sf|2|pig|avro|Query 19
1453886140|1453886743|603000|2016/01/27:09:15:40|2016/01/27:09:25:43|0h 10m 3s|tpch|tpch_avro_2sf|2|pig|avro|Query 1
1453886743|1453887172|429000|2016/01/27:09:25:43|2016/01/27:09:32:52|0h 7m 9s|tpch|tpch_avro_2sf|2|pig|avro|Query 2
1453887172|1453887385|213000|2016/01/27:09:32:52|2016/01/27:09:36:25|0h 3m 33s|tpch|tpch_avro_2sf|2|pig|avro|Query 6
1453887386|1453887989|603000|2016/01/27:09:36:26|2016/01/27:09:46:29|0h 10m 3s|tpch|tpch_avro_2sf|2|pig|avro|Query 7
1453887990|1453888609|619000|2016/01/27:09:46:30|2016/01/27:09:56:49|0h 10m 19s|tpch|tpch_avro_2sf|2|pig|avro|Query 10
1453888609|1453889291|682000|2016/01/27:09:56:49|2016/01/27:10:08:11|0h 11m 22s|tpch|tpch_avro_2sf|2|pig|avro|Query 12
1453889291|1453889742|451000|2016/01/27:10:08:11|2016/01/27:10:15:42|0h 7m 31s|tpch|tpch_avro_2sf|2|pig|avro|Query 13
1453889742|1453890386|644000|2016/01/27:10:15:42|2016/01/27:10:26:26|0h 10m 44s|tpch|tpch_avro_2sf|2|pig|avro|Query 14
1453890386|1453891366|980000|2016/01/27:10:26:26|2016/01/27:10:42:46|0h 16m 20s|tpch|tpch_avro_2sf|2|pig|avro|Query 15
1453891366|1453891878|512000|2016/01/27:10:42:46|2016/01/27:10:51:18|0h 8m 32s|tpch|tpch_avro_2sf|2|pig|avro|Query 16
1453891878|1453892847|969000|2016/01/27:10:51:18|2016/01/27:11:07:27|0h 16m 9s|tpch|tpch_avro_2sf|2|pig|avro|Query 19
1453892847|1453893379|532000|2016/01/27:11:07:27|2016/01/27:11:16:19|0h 8m 52s|tpch|tpch_avro_2sf|2|pig|avro|Query 22
1453896219|1453896236|17000|2016/01/27:12:03:39|2016/01/27:12:03:56|0h 0m 17s|tpch|tpch_parquet_2sf|2|pig|parquet|Query 1
1453896236|1453896254|18000|2016/01/27:12:03:56|2016/01/27:12:04:14|0h 0m 18s|tpch|tpch_parquet_2sf|2|pig|parquet|Query 2
1453896802|1453896868|66000|2016/01/27:12:13:22|2016/01/27:12:14:28|0h 1m 6s|tpch|tpch_parquet_2sf|2|pig|parquet|Query 1
1453896868|1453896949|81000|2016/01/27:12:14:28|2016/01/27:12:15:49|0h 1m 21s|tpch|tpch_parquet_2sf|2|pig|parquet|Query 2
1453896949|1453897012|63000|2016/01/27:12:15:49|2016/01/27:12:16:52|0h 1m 3s|tpch|tpch_parquet_2sf|2|pig|parquet|Query 6
1453900494|1453900504|10000|2016/01/27:13:14:54|2016/01/27:13:15:04|0h 0m 10s|tpch|tpch_parquet_2sf|2|pig|parquet|Query 1
1453900504|1453900508|4000|2016/01/27:13:15:04|2016/01/27:13:15:08|0h 0m 4s|tpch|tpch_parquet_2sf|2|pig|parquet|Query 2
1453900508|1453900510|2000|2016/01/27:13:15:08|2016/01/27:13:15:10|0h 0m 2s|tpch|tpch_parquet_2sf|2|pig|parquet|Query 6
1453900510|1453900510|0|2016/01/27:13:15:10|2016/01/27:13:15:10|0h 0m 0s|tpch|tpch_parquet_2sf|2|pig|parquet|Query 7
1453900510|1453900511|1000|2016/01/27:13:15:10|2016/01/27:13:15:11|0h 0m 1s|tpch|tpch_parquet_2sf|2|pig|parquet|Query 10
1453900511|1453900512|1000|2016/01/27:13:15:11|2016/01/27:13:15:12|0h 0m 1s|tpch|tpch_parquet_2sf|2|pig|parquet|Query 12
1453900512|1453900513|1000|2016/01/27:13:15:12|2016/01/27:13:15:13|0h 0m 1s|tpch|tpch_parquet_2sf|2|pig|parquet|Query 13
1453900513|1453900513|0|2016/01/27:13:15:13|2016/01/27:13:15:13|0h 0m 0s|tpch|tpch_parquet_2sf|2|pig|parquet|Query 14
1453900513|1453900514|1000|2016/01/27:13:15:13|2016/01/27:13:15:14|0h 0m 1s|tpch|tpch_parquet_2sf|2|pig|parquet|Query 15
1453900514|1453900514|0|2016/01/27:13:15:14|2016/01/27:13:15:14|0h 0m 0s|tpch|tpch_parquet_2sf|2|pig|parquet|Query 16
