STARTDATE_EPOCH|STOPDATE_EPOCH|DURATION_MS|STARTDATE|STOPDATE|DURATION|BENCHMARK|DATABASE|SCALE_FACTOR|FILE_FORMAT|TABLE
1453883232|1453883337|105000|2016/01/27:08:27:12|2016/01/27:08:28:57|0h 1m 45s|tpch|tpch_Avro_2sf|2|Avro|orders
1453883379|1453883664|285000|2016/01/27:08:29:39|2016/01/27:08:34:24|0h 4m 45s|tpch|tpch_Avro_2sf|2|Avro|lineitem
1453883712|1453883792|80000|2016/01/27:08:35:12|2016/01/27:08:36:32|0h 1m 20s|tpch|tpch_Avro_2sf|2|Avro|nation
1453883849|1453883929|80000|2016/01/27:08:37:29|2016/01/27:08:38:49|0h 1m 20s|tpch|tpch_Avro_2sf|2|Avro|region
1453893700|1453893866|166000|2016/01/27:11:21:40|2016/01/27:11:24:26|0h 2m 46s|tpch|tpch_parquet_2sf|2|parquet|part
1453893926|1453894031|105000|2016/01/27:11:25:26|2016/01/27:11:27:11|0h 1m 45s|tpch|tpch_parquet_2sf|2|parquet|partsupp
1453894081|1453894290|209000|2016/01/27:11:28:01|2016/01/27:11:31:30|0h 3m 29s|tpch|tpch_parquet_2sf|2|parquet|supplier
1453894465|1453894876|411000|2016/01/27:11:34:25|2016/01/27:11:41:16|0h 6m 51s|tpch|tpch_parquet_2sf|2|parquet|customer
1453895083|1453895470|387000|2016/01/27:11:44:43|2016/01/27:11:51:10|0h 6m 27s|tpch|tpch_parquet_2sf|2|parquet|orders
1453895511|1453895717|206000|2016/01/27:11:51:51|2016/01/27:11:55:17|0h 3m 26s|tpch|tpch_parquet_2sf|2|parquet|lineitem
1453895747|1453895801|54000|2016/01/27:11:55:47|2016/01/27:11:56:41|0h 0m 54s|tpch|tpch_parquet_2sf|2|parquet|nation
1453895836|1453895891|55000|2016/01/27:11:57:16|2016/01/27:11:58:11|0h 0m 55s|tpch|tpch_parquet_2sf|2|parquet|region
1454484181|1454484241|60000|2016/02/03:07:23:01|2016/02/03:07:24:01|0h 1m 0s|tpch|tpch_parquet_2sf|2|parquet|part
1454484293|1454484377|84000|2016/02/03:07:24:53|2016/02/03:07:26:17|0h 1m 24s|tpch|tpch_parquet_2sf|2|parquet|partsupp
1454484417|1454484478|61000|2016/02/03:07:26:57|2016/02/03:07:27:58|0h 1m 1s|tpch|tpch_parquet_2sf|2|parquet|supplier
1454484524|1454484585|61000|2016/02/03:07:28:44|2016/02/03:07:29:45|0h 1m 1s|tpch|tpch_parquet_2sf|2|parquet|customer
1454484615|1454484713|98000|2016/02/03:07:30:15|2016/02/03:07:31:53|0h 1m 38s|tpch|tpch_parquet_2sf|2|parquet|orders
1454484766|1454484997|231000|2016/02/03:07:32:46|2016/02/03:07:36:37|0h 3m 51s|tpch|tpch_parquet_2sf|2|parquet|lineitem
1454485035|1454485085|50000|2016/02/03:07:37:15|2016/02/03:07:38:05|0h 0m 50s|tpch|tpch_parquet_2sf|2|parquet|nation
1454485123|1454485183|60000|2016/02/03:07:38:43|2016/02/03:07:39:43|0h 1m 0s|tpch|tpch_parquet_2sf|2|parquet|region
1454527015|1454527099|84000|2016/02/03:19:16:55|2016/02/03:19:18:19|0h 1m 24s|tpch|tpch_orc_4sf|4|orc|part
1454527133|1454527230|97000|2016/02/03:19:18:53|2016/02/03:19:20:30|0h 1m 37s|tpch|tpch_orc_4sf|4|orc|partsupp
1454527265|1454527335|70000|2016/02/03:19:21:05|2016/02/03:19:22:15|0h 1m 10s|tpch|tpch_orc_4sf|4|orc|supplier
1454527368|1454527449|81000|2016/02/03:19:22:48|2016/02/03:19:24:09|0h 1m 21s|tpch|tpch_orc_4sf|4|orc|customer
1454527485|1454527605|120000|2016/02/03:19:24:45|2016/02/03:19:26:45|0h 2m 0s|tpch|tpch_orc_4sf|4|orc|orders
1454527644|1454528040|396000|2016/02/03:19:27:24|2016/02/03:19:34:00|0h 6m 36s|tpch|tpch_orc_4sf|4|orc|lineitem
1454528085|1454528144|59000|2016/02/03:19:34:45|2016/02/03:19:35:44|0h 0m 59s|tpch|tpch_orc_4sf|4|orc|nation
1454528184|1454528240|56000|2016/02/03:19:36:24|2016/02/03:19:37:20|0h 0m 56s|tpch|tpch_orc_4sf|4|orc|region
1454528368|1454528441|73000|2016/02/03:19:39:28|2016/02/03:19:40:41|0h 1m 13s|tpch|tpch_avro_4sf|4|avro|part
1454528481|1454528595|114000|2016/02/03:19:41:21|2016/02/03:19:43:15|0h 1m 54s|tpch|tpch_avro_4sf|4|avro|partsupp
1454528636|1454528721|85000|2016/02/03:19:43:56|2016/02/03:19:45:21|0h 1m 25s|tpch|tpch_avro_4sf|4|avro|supplier
1454528766|1454528911|145000|2016/02/03:19:46:06|2016/02/03:19:48:31|0h 2m 25s|tpch|tpch_avro_4sf|4|avro|customer
1454528968|1454529142|174000|2016/02/03:19:49:28|2016/02/03:19:52:22|0h 2m 54s|tpch|tpch_avro_4sf|4|avro|orders
1454529174|1454529565|391000|2016/02/03:19:52:54|2016/02/03:19:59:25|0h 6m 31s|tpch|tpch_avro_4sf|4|avro|lineitem
1454529597|1454529661|64000|2016/02/03:19:59:57|2016/02/03:20:01:01|0h 1m 4s|tpch|tpch_avro_4sf|4|avro|nation
1454529704|1454529757|53000|2016/02/03:20:01:44|2016/02/03:20:02:37|0h 0m 53s|tpch|tpch_avro_4sf|4|avro|region
1454529959|1454530049|90000|2016/02/03:20:05:59|2016/02/03:20:07:29|0h 1m 30s|tpch|tpch_parquet_4sf|4|parquet|part
1454530080|1454530199|119000|2016/02/03:20:08:00|2016/02/03:20:09:59|0h 1m 59s|tpch|tpch_parquet_4sf|4|parquet|partsupp
1454530249|1454530314|65000|2016/02/03:20:10:49|2016/02/03:20:11:54|0h 1m 5s|tpch|tpch_parquet_4sf|4|parquet|supplier
1454530366|1454530450|84000|2016/02/03:20:12:46|2016/02/03:20:14:10|0h 1m 24s|tpch|tpch_parquet_4sf|4|parquet|customer
1454530486|1454530614|128000|2016/02/03:20:14:46|2016/02/03:20:16:54|0h 2m 8s|tpch|tpch_parquet_4sf|4|parquet|orders
1454530656|1454530974|318000|2016/02/03:20:17:36|2016/02/03:20:22:54|0h 5m 18s|tpch|tpch_parquet_4sf|4|parquet|lineitem
1454531019|1454531075|56000|2016/02/03:20:23:39|2016/02/03:20:24:35|0h 0m 56s|tpch|tpch_parquet_4sf|4|parquet|nation
1454531108|1454531167|59000|2016/02/03:20:25:08|2016/02/03:20:26:07|0h 0m 59s|tpch|tpch_parquet_4sf|4|parquet|region
1454608597|1454608690|93000|2016/02/04:17:56:37|2016/02/04:17:58:10|0h 1m 33s|tpch|tpch_parquet_8sf|8|parquet|part
1454608731|1454608903|172000|2016/02/04:17:58:51|2016/02/04:18:01:43|0h 2m 52s|tpch|tpch_parquet_8sf|8|parquet|partsupp
1454608937|1454608998|61000|2016/02/04:18:02:17|2016/02/04:18:03:18|0h 1m 1s|tpch|tpch_parquet_8sf|8|parquet|supplier
1454609032|1454609170|138000|2016/02/04:18:03:52|2016/02/04:18:06:10|0h 2m 18s|tpch|tpch_parquet_8sf|8|parquet|customer
1454609201|1454609387|186000|2016/02/04:18:06:41|2016/02/04:18:09:47|0h 3m 6s|tpch|tpch_parquet_8sf|8|parquet|orders
1454609421|1454609995|574000|2016/02/04:18:10:21|2016/02/04:18:19:55|0h 9m 34s|tpch|tpch_parquet_8sf|8|parquet|lineitem
1454610026|1454610088|62000|2016/02/04:18:20:26|2016/02/04:18:21:28|0h 1m 2s|tpch|tpch_parquet_8sf|8|parquet|nation
1454610118|1454610177|59000|2016/02/04:18:21:58|2016/02/04:18:22:57|0h 0m 59s|tpch|tpch_parquet_8sf|8|parquet|region
1454661599|1454661693|94000|2016/02/05:08:39:59|2016/02/05:08:41:33|0h 1m 34s|tpch|tpch_avro_8sf|8|avro|part
1454661724|1454661853|129000|2016/02/05:08:42:04|2016/02/05:08:44:13|0h 2m 9s|tpch|tpch_avro_8sf|8|avro|partsupp
1454661884|1454661943|59000|2016/02/05:08:44:44|2016/02/05:08:45:43|0h 0m 59s|tpch|tpch_avro_8sf|8|avro|supplier
1454661973|1454662064|91000|2016/02/05:08:46:13|2016/02/05:08:47:44|0h 1m 31s|tpch|tpch_avro_8sf|8|avro|customer
1454662101|1454662295|194000|2016/02/05:08:48:21|2016/02/05:08:51:35|0h 3m 14s|tpch|tpch_avro_8sf|8|avro|orders
1454662330|1454662883|553000|2016/02/05:08:52:10|2016/02/05:09:01:23|0h 9m 13s|tpch|tpch_avro_8sf|8|avro|lineitem
1454673507|1454673585|78000|2016/02/05:11:58:27|2016/02/05:11:59:45|0h 1m 18s|tpch|tpch_avro_8sf|8|avro|part
1454673617|1454673764|147000|2016/02/05:12:00:17|2016/02/05:12:02:44|0h 2m 27s|tpch|tpch_avro_8sf|8|avro|partsupp
1454673810|1454673861|51000|2016/02/05:12:03:30|2016/02/05:12:04:21|0h 0m 51s|tpch|tpch_avro_8sf|8|avro|supplier
1454673888|1454673984|96000|2016/02/05:12:04:48|2016/02/05:12:06:24|0h 1m 36s|tpch|tpch_avro_8sf|8|avro|customer
1454674014|1454674171|157000|2016/02/05:12:06:54|2016/02/05:12:09:31|0h 2m 37s|tpch|tpch_avro_8sf|8|avro|orders
1454674201|1454674717|516000|2016/02/05:12:10:01|2016/02/05:12:18:37|0h 8m 36s|tpch|tpch_avro_8sf|8|avro|lineitem
1454674752|1454674814|62000|2016/02/05:12:19:12|2016/02/05:12:20:14|0h 1m 2s|tpch|tpch_avro_8sf|8|avro|nation
1454674848|1454674903|55000|2016/02/05:12:20:48|2016/02/05:12:21:43|0h 0m 55s|tpch|tpch_avro_8sf|8|avro|region
1454762198|1454762304|106000|2016/02/06:12:36:38|2016/02/06:12:38:24|0h 1m 46s|tpch|tpch_orc_8sf|8|orc|part
1454762337|1454762482|145000|2016/02/06:12:38:57|2016/02/06:12:41:22|0h 2m 25s|tpch|tpch_orc_8sf|8|orc|partsupp
1454762548|1454762630|82000|2016/02/06:12:42:28|2016/02/06:12:43:50|0h 1m 22s|tpch|tpch_orc_8sf|8|orc|supplier
1454762676|1454762808|132000|2016/02/06:12:44:36|2016/02/06:12:46:48|0h 2m 12s|tpch|tpch_orc_8sf|8|orc|customer
1454762850|1454763023|173000|2016/02/06:12:47:30|2016/02/06:12:50:23|0h 2m 53s|tpch|tpch_orc_8sf|8|orc|orders
1454763054|1454763527|473000|2016/02/06:12:50:54|2016/02/06:12:58:47|0h 7m 53s|tpch|tpch_orc_8sf|8|orc|lineitem
1454763565|1454763617|52000|2016/02/06:12:59:25|2016/02/06:13:00:17|0h 0m 52s|tpch|tpch_orc_8sf|8|orc|nation
1454763644|1454763693|49000|2016/02/06:13:00:44|2016/02/06:13:01:33|0h 0m 49s|tpch|tpch_orc_8sf|8|orc|region
1454785219|1454785296|77000|2016/02/06:19:00:19|2016/02/06:19:01:36|0h 1m 17s|tpch|tpch_parquet_8sf|8|parquet|part
1454785328|1454785497|169000|2016/02/06:19:02:08|2016/02/06:19:04:57|0h 2m 49s|tpch|tpch_parquet_8sf|8|parquet|partsupp
1454785528|1454785579|51000|2016/02/06:19:05:28|2016/02/06:19:06:19|0h 0m 51s|tpch|tpch_parquet_8sf|8|parquet|supplier
1454785609|1454785714|105000|2016/02/06:19:06:49|2016/02/06:19:08:34|0h 1m 45s|tpch|tpch_parquet_8sf|8|parquet|customer
1454785750|1454785928|178000|2016/02/06:19:09:10|2016/02/06:19:12:08|0h 2m 58s|tpch|tpch_parquet_8sf|8|parquet|orders
1454785966|1454786474|508000|2016/02/06:19:12:46|2016/02/06:19:21:14|0h 8m 28s|tpch|tpch_parquet_8sf|8|parquet|lineitem
1454786507|1454786556|49000|2016/02/06:19:21:47|2016/02/06:19:22:36|0h 0m 49s|tpch|tpch_parquet_8sf|8|parquet|nation
1454786584|1454786631|47000|2016/02/06:19:23:04|2016/02/06:19:23:51|0h 0m 47s|tpch|tpch_parquet_8sf|8|parquet|region
1454786952|1454787013|61000|2016/02/06:19:29:12|2016/02/06:19:30:13|0h 1m 1s|tpch|tpch_parquet_4sf|4|parquet|part
1454787046|1454787119|73000|2016/02/06:19:30:46|2016/02/06:19:31:59|0h 1m 13s|tpch|tpch_parquet_4sf|4|parquet|partsupp
1454787168|1454787223|55000|2016/02/06:19:32:48|2016/02/06:19:33:43|0h 0m 55s|tpch|tpch_parquet_4sf|4|parquet|supplier
1454787254|1454787319|65000|2016/02/06:19:34:14|2016/02/06:19:35:19|0h 1m 5s|tpch|tpch_parquet_4sf|4|parquet|customer
1454787351|1454787451|100000|2016/02/06:19:35:51|2016/02/06:19:37:31|0h 1m 40s|tpch|tpch_parquet_4sf|4|parquet|orders
1454787479|1454787734|255000|2016/02/06:19:37:59|2016/02/06:19:42:14|0h 4m 15s|tpch|tpch_parquet_4sf|4|parquet|lineitem
1454787765|1454787807|42000|2016/02/06:19:42:45|2016/02/06:19:43:27|0h 0m 42s|tpch|tpch_parquet_4sf|4|parquet|nation
1454787831|1454787877|46000|2016/02/06:19:43:51|2016/02/06:19:44:37|0h 0m 46s|tpch|tpch_parquet_4sf|4|parquet|region
1454849176|1454849218|42000|2016/02/07:12:46:16|2016/02/07:12:46:58|0h 0m 42s|tpch|tpch_parquet_2sf|2|parquet|part
1454849253|1454849314|61000|2016/02/07:12:47:33|2016/02/07:12:48:34|0h 1m 1s|tpch|tpch_parquet_2sf|2|parquet|partsupp
1454849354|1454849411|57000|2016/02/07:12:49:14|2016/02/07:12:50:11|0h 0m 57s|tpch|tpch_parquet_2sf|2|parquet|supplier
1454849447|1454849512|65000|2016/02/07:12:50:47|2016/02/07:12:51:52|0h 1m 5s|tpch|tpch_parquet_2sf|2|parquet|customer
1454849562|1454849634|72000|2016/02/07:12:52:42|2016/02/07:12:53:54|0h 1m 12s|tpch|tpch_parquet_2sf|2|parquet|orders
1454849683|1454849878|195000|2016/02/07:12:54:43|2016/02/07:12:57:58|0h 3m 15s|tpch|tpch_parquet_2sf|2|parquet|lineitem
1454849919|1454849966|47000|2016/02/07:12:58:39|2016/02/07:12:59:26|0h 0m 47s|tpch|tpch_parquet_2sf|2|parquet|nation
1454850000|1454850054|54000|2016/02/07:13:00:00|2016/02/07:13:00:54|0h 0m 54s|tpch|tpch_parquet_2sf|2|parquet|region
1454852796|1454852858|62000|2016/02/07:13:46:36|2016/02/07:13:47:38|0h 1m 2s|tpch|tpch_orc_4sf|4|orc|part
1454852889|1454852963|74000|2016/02/07:13:48:09|2016/02/07:13:49:23|0h 1m 14s|tpch|tpch_orc_4sf|4|orc|partsupp
1454852998|1454853050|52000|2016/02/07:13:49:58|2016/02/07:13:50:50|0h 0m 52s|tpch|tpch_orc_4sf|4|orc|supplier
1454853085|1454853154|69000|2016/02/07:13:51:25|2016/02/07:13:52:34|0h 1m 9s|tpch|tpch_orc_4sf|4|orc|customer
1454853185|1454853282|97000|2016/02/07:13:53:05|2016/02/07:13:54:42|0h 1m 37s|tpch|tpch_orc_4sf|4|orc|orders
1454853312|1454853561|249000|2016/02/07:13:55:12|2016/02/07:13:59:21|0h 4m 9s|tpch|tpch_orc_4sf|4|orc|lineitem
1454853590|1454853633|43000|2016/02/07:13:59:50|2016/02/07:14:00:33|0h 0m 43s|tpch|tpch_orc_4sf|4|orc|nation
1454853659|1454853705|46000|2016/02/07:14:00:59|2016/02/07:14:01:45|0h 0m 46s|tpch|tpch_orc_4sf|4|orc|region
1454859387|1454859458|71000|2016/02/07:15:36:27|2016/02/07:15:37:38|0h 1m 11s|tpch|tpch_orc_8sf|8|orc|part
1454859491|1454859598|107000|2016/02/07:15:38:11|2016/02/07:15:39:58|0h 1m 47s|tpch|tpch_orc_8sf|8|orc|partsupp
1454859626|1454859669|43000|2016/02/07:15:40:26|2016/02/07:15:41:09|0h 0m 43s|tpch|tpch_orc_8sf|8|orc|supplier
1454859698|1454859778|80000|2016/02/07:15:41:38|2016/02/07:15:42:58|0h 1m 20s|tpch|tpch_orc_8sf|8|orc|customer
1454859813|1454859968|155000|2016/02/07:15:43:33|2016/02/07:15:46:08|0h 2m 35s|tpch|tpch_orc_8sf|8|orc|orders
1454859996|1454860414|418000|2016/02/07:15:46:36|2016/02/07:15:53:34|0h 6m 58s|tpch|tpch_orc_8sf|8|orc|lineitem
1454860444|1454860488|44000|2016/02/07:15:54:04|2016/02/07:15:54:48|0h 0m 44s|tpch|tpch_orc_8sf|8|orc|nation
1454860520|1454860560|40000|2016/02/07:15:55:20|2016/02/07:15:56:00|0h 0m 40s|tpch|tpch_orc_8sf|8|orc|region
1454865118|1454865195|77000|2016/02/07:17:11:58|2016/02/07:17:13:15|0h 1m 17s|tpch|tpch_parquet_8sf|8|parquet|part
1454865229|1454865383|154000|2016/02/07:17:13:49|2016/02/07:17:16:23|0h 2m 34s|tpch|tpch_parquet_8sf|8|parquet|partsupp
1454865412|1454865451|39000|2016/02/07:17:16:52|2016/02/07:17:17:31|0h 0m 39s|tpch|tpch_parquet_8sf|8|parquet|supplier
1454865478|1454865579|101000|2016/02/07:17:17:58|2016/02/07:17:19:39|0h 1m 41s|tpch|tpch_parquet_8sf|8|parquet|customer
1454865621|1454865792|171000|2016/02/07:17:20:21|2016/02/07:17:23:12|0h 2m 51s|tpch|tpch_parquet_8sf|8|parquet|orders
1454865825|1454866324|499000|2016/02/07:17:23:45|2016/02/07:17:32:04|0h 8m 19s|tpch|tpch_parquet_8sf|8|parquet|lineitem
1454866355|1454866402|47000|2016/02/07:17:32:35|2016/02/07:17:33:22|0h 0m 47s|tpch|tpch_parquet_8sf|8|parquet|nation
1454866427|1454866473|46000|2016/02/07:17:33:47|2016/02/07:17:34:33|0h 0m 46s|tpch|tpch_parquet_8sf|8|parquet|region
